20

 3 -1  0  0   -1  0  0  0    0  0  0  0    0  0  0  0    0  0  0  0     100
-1  4 -1  0    0 -1  0  0    0  0  0  0    0  0  0  0    0  0  0  0      90
 0 -1  4 -1    0  0 -1  0    0  0  0  0    0  0  0  0    0  0  0  0      80
 0  0 -1  3    0  0  0 -1    0  0  0  0    0  0  0  0    0  0  0  0      70

-1  0  0  0    3 -1  0  0   -1  0  0  0    0  0  0  0    0  0  0  0       0
 0 -1  0  0   -1  4 -1  0    0 -1  0  0    0  0  0  0    0  0  0  0       0
 0  0 -1  0    0 -1  4 -1    0  0 -1  0    0  0  0  0    0  0  0  0       0
 0  0  0 -1    0  0 -1  3    0  0  0 -1    0  0  0  0    0  0  0  0       0

 0  0  0  0   -1  0  0  0    3 -1  0  0   -1  0  0  0    0  0  0  0       0
 0  0  0  0    0 -1  0  0   -1  4 -1  0    0 -1  0  0    0  0  0  0       0
 0  0  0  0    0  0 -1  0    0 -1  4 -1    0  0 -1  0    0  0  0  0       0
 0  0  0  0    0  0  0 -1    0  0 -1  3    0  0  0 -1    0  0  0  0       0

 0  0  0  0    0  0  0  0   -1  0  0  0    3 -1  0  0   -1  0  0  0       0
 0  0  0  0    0  0  0  0    0 -1  0  0   -1  4 -1  0    0 -1  0  0       0
 0  0  0  0    0  0  0  0    0  0 -1  0    0 -1  4 -1    0  0 -1  0       0
 0  0  0  0    0  0  0  0    0  0  0 -1    0  0 -1  3    0  0  0 -1       0

 0  0  0  0    0  0  0  0    0  0  0  0   -1  0  0  0    3 -1  0  0      70
 0  0  0  0    0  0  0  0    0  0  0  0    0 -1  0  0   -1  4 -1  0      60
 0  0  0  0    0  0  0  0    0  0  0  0    0  0 -1  0    0 -1  4 -1      50
 0  0  0  0    0  0  0  0    0  0  0  0    0  0  0 -1    0  0 -1  3      40


  100 -- x -- x -- x -- x -- x --  70
   90 -- x -- x -- x -- x -- x --  60
   80 -- x -- x -- x -- x -- x --  50
   70 -- x -- x -- x -- x -- x --  40

